summary,levels,products,uid,type,title,modules,main_product,title_and_summary
"In this module, we will examine the ways in which users can automate tasks by performing them manually and recording the process.",['beginner'],"['power-platform', 'power-automate']",learn-bizapps.winautomation-recording-features,module,Generate WinAutomation processes by recording,,power,"Generate WinAutomation processes by recording In this module, we will examine the ways in which users can automate tasks by performing them manually and recording the process."
Learn how WinAutomation identifies and interacts with UI elements and windows.,['beginner'],"['power-platform', 'power-automate']",learn-bizapps.ui-automation,module,Use WinAutomation to interact with windows and applications,,power,Use WinAutomation to interact with windows and applications Learn how WinAutomation identifies and interacts with UI elements and windows.
Introduction to Power Apps,['beginner'],['power-apps'],learn-bizapps.wwl.introduction-power-apps,module,Introduction to Power Apps,,power,Introduction to Power Apps Introduction to Power Apps
"In this module, we will discuss the use of message boxes in automated processes.",['beginner'],"['power-platform', 'power-automate']",learn-bizapps.message-boxes,module,Communicate using message boxes in WinAutomation processes,,power,"Communicate using message boxes in WinAutomation processes In this module, we will discuss the use of message boxes in automated processes."
"In this module, we'll discuss how to create, access, edit and manipulate variables in WinAutomation.",['beginner'],"['power-automate', 'power-platform']",learn-bizapps.winautomation-variables,module,Handle variables in WinAutomation,,power,"Handle variables in WinAutomation In this module, we'll discuss how to create, access, edit and manipulate variables in WinAutomation."
"With Microsoft Power BI, you can build multiple reports from a single dataset, meaning that if you change the dataset, all reports will be updated with that change. Additionally, you can clean and prep data once rather than repeatedly for each report.",['intermediate'],"['power-bi', 'power-platform']",learn-bizapps.manage-datasets-power-bi,module,Manage datasets in Power BI ,,power,"Manage datasets in Power BI  With Microsoft Power BI, you can build multiple reports from a single dataset, meaning that if you change the dataset, all reports will be updated with that change. Additionally, you can clean and prep data once rather than repeatedly for each report."
Learn about AI Builder Text recognition and how to use it with other Power Platform products.,['beginner'],"['ai-builder', 'power-platform', 'power-automate']",learn-bizapps.get-started-with-ai-builder-text-recognition,module,Get started with AI Builder Text recognition,,power,Get started with AI Builder Text recognition Learn about AI Builder Text recognition and how to use it with other Power Platform products.
"Paginated reports allow report developers to create Power BI artifacts that have tightly controlled rendering requirements. Paginated reports are ideal for creating sales invoices, receipts, purchase orders, and tabular data. This module will teach you how to create reports, add parameters, and work with tables and charts in paginated reports.",['intermediate'],"['power-bi', 'power-platform']",learn-bizapps.create-paginated-reports-power-bi,module,Create paginated reports  ,,power,"Create paginated reports   Paginated reports allow report developers to create Power BI artifacts that have tightly controlled rendering requirements. Paginated reports are ideal for creating sales invoices, receipts, purchase orders, and tabular data. This module will teach you how to create reports, add parameters, and work with tables and charts in paginated reports."
Learn the basics of AI Builder usage in Microsoft Power Automate and how it can benefit your organization. ,['intermediate'],"['ai-builder', 'power-platform', 'power-automate']",learn-bizapps.ai-builder-power-automate,module,Use AI Builder in Power Automate,,power,Use AI Builder in Power Automate Learn the basics of AI Builder usage in Microsoft Power Automate and how it can benefit your organization. 
Learn how to write data in a Power Apps canvas app.,['intermediate'],"['power-platform', 'power-apps']",learn-bizapps.write-data,module,Write data in a Power Apps canvas app,,power,Write data in a Power Apps canvas app Learn how to write data in a Power Apps canvas app.
How to build a canvas app,['beginner'],['power-apps'],learn-bizapps.wwl.build-app-solution,module,How to build a canvas app,,power,How to build a canvas app How to build a canvas app
"Learn best practices for communicating changes to Data Loss Prevention (DLP) policies, find out about how people are using Power Automate, discover who in your organization is creating and sharing flows, learn what connections are being used within your Power Automate environments, and observe how connections are established within your Power Automate environments.",['intermediate'],"['power-automate', 'power-platform', 'power-apps']",learn-bizapps.manage-environmental-changes,module,Manage environmental changes in Power Automate,,power,"Manage environmental changes in Power Automate Learn best practices for communicating changes to Data Loss Prevention (DLP) policies, find out about how people are using Power Automate, discover who in your organization is creating and sharing flows, learn what connections are being used within your Power Automate environments, and observe how connections are established within your Power Automate environments."
Learn how to use loops to repeat blocks of actions in a process.,['beginner'],"['power-platform', 'power-automate']",learn-bizapps.loops,module,Automate repetitive tasks using loops in WinAutomation,,power,Automate repetitive tasks using loops in WinAutomation Learn how to use loops to repeat blocks of actions in a process.
Connect Power BI to multiple data sources to create reports. Define the relationship between your data sources.,['intermediate'],"['power-platform', 'power-bi']",learn-bizapps.model-data-power-bi,module,Model data in Power BI,,power,Model data in Power BI Connect Power BI to multiple data sources to create reports. Define the relationship between your data sources.
"As a consumer, you'll work in the Power BI service to review and interact with content that has been shared with you. This module provides the foundational information that you need to work effectively in the Power BI service.",['beginner'],"['power-bi', 'power-platform']",learn-bizapps.intro-to-power-bi-service,module,Explore what Power BI can do for you,,power,"Explore what Power BI can do for you As a consumer, you'll work in the Power BI service to review and interact with content that has been shared with you. This module provides the foundational information that you need to work effectively in the Power BI service."
Publish and share your Power BI reports and dashboards to teammates in your organization or to everyone on the web.,['intermediate'],"['power-platform', 'power-bi']",learn-bizapps.publish-share-power-bi,module,Publish and share in Power BI,,power,Publish and share in Power BI Publish and share your Power BI reports and dashboards to teammates in your organization or to everyone on the web.
"Do you want prescriptive recommendations for how organizations should choose to implement security and governance? This module will provide recommendations based on popular use cases, including Office 365 and Dynamics 365 configurations. In addition, edge cases such as custom and HTTP connectors are discussed. Tooling will also be discussed, including the DLP Editor Tool, from the Center of Excellence (COE) toolkit, which allows administrators to understand the impact of the DLP change that they are about to make.",['intermediate'],"['power-automate', 'power-platform', 'power-apps']",learn-bizapps.implementation-recommendations,module,Implementation recommendations for Power Automate environments,,power,"Implementation recommendations for Power Automate environments Do you want prescriptive recommendations for how organizations should choose to implement security and governance? This module will provide recommendations based on popular use cases, including Office 365 and Dynamics 365 configurations. In addition, edge cases such as custom and HTTP connectors are discussed. Tooling will also be discussed, including the DLP Editor Tool, from the Center of Excellence (COE) toolkit, which allows administrators to understand the impact of the DLP change that they are about to make."
Do you need to connect an app to access data? Then this module is for you. It focuses on connecting your app to a data source.,['intermediate'],"['power-platform', 'power-apps']",learn-bizapps.work-with-external-data,module,Work with external data in a Power Apps canvas app,,power,Work with external data in a Power Apps canvas app Do you need to connect an app to access data? Then this module is for you. It focuses on connecting your app to a data source.
Learn about the web automation actions in WinAutomation.,['beginner'],"['power-platform', 'power-automate']",learn-bizapps.web-automation,module,Web automation in WinAutomation,,power,Web automation in WinAutomation Learn about the web automation actions in WinAutomation.
"Extend Common Data Service interaction to external and internal audiences such as customers, partners, and employees. Use portals to set up an interactive, web-based sales, services, support, and social engagement application platform to connect with customers, engage with communities, manage site content, and empower your channel partners. Empower anyone inside or outside your organization to interact with Common Data Service data by using portals.",['intermediate'],"['dynamics-365', 'power-platform', 'power-apps']",learn-bizapps.intro-portals,module,Introduction to Power Apps portals,,dynamics,"Introduction to Power Apps portals Extend Common Data Service interaction to external and internal audiences such as customers, partners, and employees. Use portals to set up an interactive, web-based sales, services, support, and social engagement application platform to connect with customers, engage with communities, manage site content, and empower your channel partners. Empower anyone inside or outside your organization to interact with Common Data Service data by using portals."
"When building a Microsoft Power Apps portal, administrators should consider various techniques, best practices, and features. This module will cover the various troubleshooting tools that are available and explain the importance of using the Portal Checker tool.",['intermediate'],"['power-platform', 'power-apps']",learn-bizapps.portals-maintenance-troubleshooting,module,Power Apps portals maintenance and troubleshooting,,power,"Power Apps portals maintenance and troubleshooting When building a Microsoft Power Apps portal, administrators should consider various techniques, best practices, and features. This module will cover the various troubleshooting tools that are available and explain the importance of using the Portal Checker tool."
Learn how to write expressions in Power Automate,['intermediate'],"['power-platform', 'power-automate']",learn-bizapps.introduction-expressions,module,Introduction to expressions in Power Automate,,power,Introduction to expressions in Power Automate Learn how to write expressions in Power Automate
"Manage app versions, app sharing, and environments in Power Apps.",['beginner'],"['power-platform', 'power-apps']",learn-bizapps.powerapps-manage,module,Manage apps in Power Apps,,power,"Manage apps in Power Apps Manage app versions, app sharing, and environments in Power Apps."
Some Power Automate button flows will allow for user input and will run a predefined series of actions. This type of flow button provides the input that is necessary to run the predefined actions in the flow. It will show users how they can create a flow button that runs different logic based on the provided inputs.,['intermediate'],"['power-automate', 'power-platform']",learn-bizapps.button-user-input,module,Create a Power Automate button with user input,,power,Create a Power Automate button with user input Some Power Automate button flows will allow for user input and will run a predefined series of actions. This type of flow button provides the input that is necessary to run the predefined actions in the flow. It will show users how they can create a flow button that runs different logic based on the provided inputs.
Learn about the synchronization actions in WinAutomation.,['intermediate'],"['power-platform', 'power-automate']",learn-bizapps.sync-actions,module,Synchronization actions in WinAutomation,,power,Synchronization actions in WinAutomation Learn about the synchronization actions in WinAutomation.
Learn how to use Ai Builder Text Recognition to automate the tracking of shipments.,['beginner'],"['ai-builder', 'power-platform', 'power-automate']",learn-bizapps.apply-ai-builder-text-recognition-transportation-industry,module,Apply AI Builder Text Recognition in the transportation industry,,power,Apply AI Builder Text Recognition in the transportation industry Learn how to use Ai Builder Text Recognition to automate the tracking of shipments.
Do you want to create a Power Automate button flow? This module will focus on Power Automate buttons that don’t require user input and run a predefined series of actions.,['intermediate'],"['power-automate', 'power-platform']",learn-bizapps.button-without-user-input,module,Create a Power Automate button without user input,,power,Create a Power Automate button without user input Do you want to create a Power Automate button flow? This module will focus on Power Automate buttons that don’t require user input and run a predefined series of actions.
Learn the basics of AI Builder Object detection and how it can benefit your organization.,['beginner'],"['ai-builder', 'power-platform', 'power-automate']",learn-bizapps.get-started-with-ai-builder-object-detection,module,Get started with AI Builder Object detection,,power,Get started with AI Builder Object detection Learn the basics of AI Builder Object detection and how it can benefit your organization.
"Implement robotic process automation with Microsoft Power Automate, Teams, UI flows, and AI Builder",['intermediate'],"['office-teams', 'power-automate', 'power-platform', 'ai-builder']",learn.wwl.implement-rpa-power-automate-ui-flows-ai-builder,module,"Implement robotic process automation with Microsoft Power Automate, Teams, UI flows, and AI Builder",,office,"Implement robotic process automation with Microsoft Power Automate, Teams, UI flows, and AI Builder Implement robotic process automation with Microsoft Power Automate, Teams, UI flows, and AI Builder"
Do you want to quickly build apps with little to no code? This module will focus on the building blocks of Common Data Service and model-driven apps. These key components will help you build quick business apps in your organization.,['beginner'],"['power-platform', 'power-apps']",learn-bizapps.intro-model-driven-apps-common-data-service,module,Introduction to model-driven apps and Common Data Service,,power,Introduction to model-driven apps and Common Data Service Do you want to quickly build apps with little to no code? This module will focus on the building blocks of Common Data Service and model-driven apps. These key components will help you build quick business apps in your organization.
"Microsoft Power BI dashboards are different than Power BI reports. Dashboards allow report consumers to create a single artifact of directed data that is personalized just for them.  Dashboards can be comprised of pinned visuals that are taken from different reports. Where a Power BI report uses data from a single dataset, a Power BI dashboard can contain visuals from different datasets.",['intermediate'],"['power-bi', 'power-platform']",learn-bizapps.create-dashboards-power-bi,module,Create dashboards in Power BI,,power,"Create dashboards in Power BI Microsoft Power BI dashboards are different than Power BI reports. Dashboards allow report consumers to create a single artifact of directed data that is personalized just for them.  Dashboards can be comprised of pinned visuals that are taken from different reports. Where a Power BI report uses data from a single dataset, a Power BI dashboard can contain visuals from different datasets."
Learn how to document and test a Power Apps application.,['beginner'],"['dynamics-365', 'power-platform']",learn-bizapps.use-documentation,module,Document and test your Power Apps application,,dynamics,Document and test your Power Apps application Learn how to document and test a Power Apps application.
"You will learn how to use Power BI to perform data analytical functions, how to identify outliers in your data, how to group data together, and how to bin data for analysis. You will also learn how to perform time series analysis. Finally, you will work with advanced analytic features of Power BI, such as Quick Insights, AI Insights, and the Analyze feature.",['intermediate'],"['power-bi', 'power-platform']",learn-bizapps.perform-analytics-power-bi,module,Perform analytics in Power BI ,,power,"Perform analytics in Power BI  You will learn how to use Power BI to perform data analytical functions, how to identify outliers in your data, how to group data together, and how to bin data for analysis. You will also learn how to perform time series analysis. Finally, you will work with advanced analytic features of Power BI, such as Quick Insights, AI Insights, and the Analyze feature."
Learn how to integrate Power Apps portals with web-based technologies.,['intermediate'],"['power-platform', 'power-apps']",learn-bizapps.portals-integration,module,Integrate Power Apps portals with web-based technologies,,power,Integrate Power Apps portals with web-based technologies Learn how to integrate Power Apps portals with web-based technologies.
"Data Analysis Expressions (DAX) is a programming language that is used throughout Microsoft Power BI for creating calculated columns, measures, and custom tables. It is a collection of functions, operators, and constants that can be used in a formula, or expression, to calculate and return one or more values. You can use DAX to solve a number of calculations and data analysis problems, which can help you create new information from data that is already in your model.",['intermediate'],"['power-bi', 'power-platform']",learn-bizapps.create-measures-dax-power-bi,module,Introduction to creating measures using DAX in Power BI,,power,"Introduction to creating measures using DAX in Power BI Data Analysis Expressions (DAX) is a programming language that is used throughout Microsoft Power BI for creating calculated columns, measures, and custom tables. It is a collection of functions, operators, and constants that can be used in a formula, or expression, to calculate and return one or more values. You can use DAX to solve a number of calculations and data analysis problems, which can help you create new information from data that is already in your model."
Introduction to Power Automate,['beginner'],['power-automate'],learn-bizapps.wwl.introduction-power-automate,module,Introduction to Power Automate,,power,Introduction to Power Automate Introduction to Power Automate
Learn how to use imperative vs. declarative development.,['advanced'],"['power-platform', 'power-apps']",learn-bizapps.use-imperative-dev-techniques,module,Use imperative development techniques for canvas apps in Power Apps,,power,Use imperative development techniques for canvas apps in Power Apps Learn how to use imperative vs. declarative development.
Learn how to configure WinAutomation process properties.,['beginner'],"['power-automate', 'power-platform']",learn-bizapps.process-properties,module,Configuring process properties in WinAutomation,,power,Configuring process properties in WinAutomation Learn how to configure WinAutomation process properties.
Common Data Service lets you securely store and manage data that's used by business applications. Standard and custom entities within Common Data Service provide a secure and cloud-based storage option for your data.,['beginner'],"['power-platform', 'power-apps']",learn-bizapps.powerapps-common-data-service,module,Get started with Common Data Service,,power,Get started with Common Data Service Common Data Service lets you securely store and manage data that's used by business applications. Standard and custom entities within Common Data Service provide a secure and cloud-based storage option for your data.
"App users can only navigate through the navigation options provided by an app developer, and this module is designed to help you build a good navigation experience for your canvas app.",['intermediate'],"['power-platform', 'power-apps']",learn-bizapps.navigation-canvas-app,module,Navigation in a canvas app in Power Apps,,power,"Navigation in a canvas app in Power Apps App users can only navigate through the navigation options provided by an app developer, and this module is designed to help you build a good navigation experience for your canvas app."
"Do you want to create business process flows? This module will discuss what business process flows are and how to use them to solve business solutions. You will discover why automating the business process is important to organizations and how to build business process flow solutions by using Power Platform and Common Data Service. Additionally, you will learn how business process flows differ from regular Power Automate workflows and when to use each.",['intermediate'],"['power-automate', 'power-platform']",learn-bizapps.intro-business-process-flows,module,Introduction to business process flows in Power Automate,,power,"Introduction to business process flows in Power Automate Do you want to create business process flows? This module will discuss what business process flows are and how to use them to solve business solutions. You will discover why automating the business process is important to organizations and how to build business process flow solutions by using Power Platform and Common Data Service. Additionally, you will learn how business process flows differ from regular Power Automate workflows and when to use each."
"Model-driven app design is an approach that focuses on quickly adding components to your apps. These components include dashboards, forms, views, and charts. With no code, or very little, you can make apps that are simple or very complex. Unlike in canvas app development, where the designer has total control over the app layout, much of the layout in model-driven apps is determined by the components you add. In other words, the emphasis is more on quickly viewing your business data and making decisions than on intricate app design.",['beginner'],"['power-platform', 'power-apps']",learn-bizapps.powerapps-design-model-driven-apps,module,Get started with model-driven apps in Power Apps,,power,"Get started with model-driven apps in Power Apps Model-driven app design is an approach that focuses on quickly adding components to your apps. These components include dashboards, forms, views, and charts. With no code, or very little, you can make apps that are simple or very complex. Unlike in canvas app development, where the designer has total control over the app layout, much of the layout in model-driven apps is determined by the components you add. In other words, the emphasis is more on quickly viewing your business data and making decisions than on intricate app design."
Learn about AI Builder Business card reader and how to use it in Microsoft Power Apps and Power Automate.,['beginner'],"['ai-builder', 'power-platform', 'power-automate']",learn-bizapps.get-started-with-ai-business-card-reader,module,Get started with AI Builder Business card reader,,power,Get started with AI Builder Business card reader Learn about AI Builder Business card reader and how to use it in Microsoft Power Apps and Power Automate.
This module will focus on the Microsoft Power Apps Portals administration and using the Power Apps admin center. Additional actions and features are available that you can use to enhance portal functionality.,['intermediate'],"['power-platform', 'power-apps']",learn-bizapps.portals-administration,module,Power Apps portals administration,,power,Power Apps portals administration This module will focus on the Microsoft Power Apps Portals administration and using the Power Apps admin center. Additional actions and features are available that you can use to enhance portal functionality.
Learn how to manage models in AI Builder.,['beginner'],"['ai-builder', 'power-platform', 'power-automate']",learn-bizapps.manage-models,module,Manage models in AI Builder,,power,Manage models in AI Builder Learn how to manage models in AI Builder.
Learn how to create and review logs to monitor your processes.,['beginner'],"['power-platform', 'power-automate']",learn-bizapps.process-monitoring-auditing,module,Process monitoring and auditing with WinAutomation,,power,Process monitoring and auditing with WinAutomation Learn how to create and review logs to monitor your processes.
"This module focuses on the Power Apps portals architecture, such as how the various components work together to build a portal. Additionally, it explains how the components are installed and come to together in a working portal. The module also describes the maker and configuration tools that you can use to build and customize Power Apps portals.",['intermediate'],"['power-apps', 'power-platform']",learn-bizapps.portals-architecture,module,Power Apps portals architecture,,power,"Power Apps portals architecture This module focuses on the Power Apps portals architecture, such as how the various components work together to build a portal. Additionally, it explains how the components are installed and come to together in a working portal. The module also describes the maker and configuration tools that you can use to build and customize Power Apps portals."
"With Power BI, you can create compelling visuals and reports. In this module, you learn how to use Power BI Desktop to connect to data, build visuals, and create a report that you can share with others in your organization. You then learn how to publish the report to the Power BI service, so that others can see your insights and benefit from your work.",['beginner'],"['power-platform', 'power-bi']",learn-bizapps.build-your-first-report,module,Create and share your first Power BI report,,power,"Create and share your first Power BI report With Power BI, you can create compelling visuals and reports. In this module, you learn how to use Power BI Desktop to connect to data, build visuals, and create a report that you can share with others in your organization. You then learn how to publish the report to the Power BI service, so that others can see your insights and benefit from your work."
"You will learn how to retrieve data from a wide variety of data sources, including Microsoft Excel, relational databases, and NoSQL data stores. You will also learn how to improve performance while retrieving data.",['intermediate'],"['power-bi', 'power-platform']",learn-bizapps.get-data,module,Get data in Power BI,,power,"Get data in Power BI You will learn how to retrieve data from a wide variety of data sources, including Microsoft Excel, relational databases, and NoSQL data stores. You will also learn how to improve performance while retrieving data."
"This module explains how you can share reports and datasets with your users and how to create a deployment strategy that makes sense for you and your organization. Furthermore, you will learn about data lineage in Microsoft Power BI.",['intermediate'],"['power-bi', 'power-platform']",learn-bizapps.create-manage-workspaces-power-bi,module,Create and manage workspaces in Power BI ,,power,"Create and manage workspaces in Power BI  This module explains how you can share reports and datasets with your users and how to create a deployment strategy that makes sense for you and your organization. Furthermore, you will learn about data lineage in Microsoft Power BI."
"In this module, you'll learn about the Power BI Desktop model structure, star schema design basics, analytics queries, and report visual configuration. This module provides a strong foundation on which you can learn to optimize model designs and add model calculations.",['intermediate'],"['power-bi', 'power-platform']",learn-bizapps.dax-power-bi-models,module,Describe Power BI Desktop models,,power,"Describe Power BI Desktop models In this module, you'll learn about the Power BI Desktop model structure, star schema design basics, analytics queries, and report visual configuration. This module provides a strong foundation on which you can learn to optimize model designs and add model calculations."
Learn the basics of receipt processing in AI Builder and how it can benefit your organization.,['beginner'],"['ai-builder', 'power-platform', 'power-automate']",learn-bizapps.ai-builder-receipt-processing,module,Get started with receipt processing in AI Builder,,power,Get started with receipt processing in AI Builder Learn the basics of receipt processing in AI Builder and how it can benefit your organization.
Learn the basics of Power Apps and how you can use it in your organization.,['beginner'],"['power-platform', 'power-apps']",learn-bizapps.powerapps-get-started,module,Get started with Power Apps,,power,Get started with Power Apps Learn the basics of Power Apps and how you can use it in your organization.
This module describes how to use the WinAutomation connector to run WinAutomation from a Power Automate flow.,['beginner'],"['power-automate', 'power-platform']",learn-bizapps.winautomation-power-automate,module,Combine WinAutomation and Power Automate,,power,Combine WinAutomation and Power Automate This module describes how to use the WinAutomation connector to run WinAutomation from a Power Automate flow.
Learn about the scripting actions in WinAutomation.,['advanced'],"['power-automate', 'power-platform']",learn-bizapps.scripting,module,Scripting in WinAutomation,,power,Scripting in WinAutomation Learn about the scripting actions in WinAutomation.
"Liquid is an [open-source template language](http://dotliquidmarkup.org/?azure-portal=true) that is integrated natively into Microsoft Power Apps portals. It acts as a bridge between Common Data Service and the HTML or text output that is sent to the browser. Liquid can be used to add dynamic content to pages and to create a variety of custom templates. Additionally, Liquid provides access only to the data and operations that are explicitly allowed by the portals.",['intermediate'],"['power-platform', 'power-apps']",learn-bizapps.liquid-template-language,module,Work with Liquid template language in Power Apps portals,,power,"Work with Liquid template language in Power Apps portals Liquid is an [open-source template language](http://dotliquidmarkup.org/?azure-portal=true) that is integrated natively into Microsoft Power Apps portals. It acts as a bridge between Common Data Service and the HTML or text output that is sent to the browser. Liquid can be used to add dynamic content to pages and to create a variety of custom templates. Additionally, Liquid provides access only to the data and operations that are explicitly allowed by the portals."
Explore the AI Builder Key phrase extraction model and learn how to use it with other Power Platform products.,['beginner'],"['ai-builder', 'power-platform', 'power-automate']",learn-bizapps.get-started-with-ai-builder-key-phrase-extraction,module,Introduction to AI Builder Key phrase extraction,,power,Introduction to AI Builder Key phrase extraction Explore the AI Builder Key phrase extraction model and learn how to use it with other Power Platform products.
"By the end of this module, you’ll learn the meaning of time intelligence and how to add time intelligence DAX calculations to your model. These calculations will include year-to-date (YTD), year-over-year (YoY) growth, and others.",['intermediate'],"['power-bi', 'power-platform']",learn-bizapps.dax-power-bi-time-intelligence,module,Use DAX time intelligence functions in Power BI Desktop models,,power,"Use DAX time intelligence functions in Power BI Desktop models By the end of this module, you’ll learn the meaning of time intelligence and how to add time intelligence DAX calculations to your model. These calculations will include year-to-date (YTD), year-over-year (YoY) growth, and others."
This module goes beyond viewing and exploring your content and explains how to interact with it by working with reports and dashboards to uncover and share new business insights.,['beginner'],"['power-bi', 'power-platform']",learn-bizapps.analyze-explore-data-power-bi,module,Analyze data with Power BI,,power,Analyze data with Power BI This module goes beyond viewing and exploring your content and explains how to interact with it by working with reports and dashboards to uncover and share new business insights.
This self-paced module helps you build an AI model from the beginning and shows how you can use it in your business without writing a single line of code.,['beginner'],"['ai-builder', 'power-platform', 'power-automate']",learn-bizapps.get-started-with-ai-builder,module,Get started with AI Builder,,power,Get started with AI Builder This self-paced module helps you build an AI model from the beginning and shows how you can use it in your business without writing a single line of code.
This module covers the basic options available in WinAutomation for running processes.,['beginner'],"['power-platform', 'power-automate']",learn-bizapps.run-winautomation-processes,module,Run WinAutomation processes,,power,Run WinAutomation processes This module covers the basic options available in WinAutomation for running processes.
The ability to show and interact with Common Data Service data on a website is a core benefit of implementing a Microsoft Power Apps portal. This module focuses on the several techniques and methods to display and interact with Common Data Service data in Power Apps portals.,['intermediate'],"['power-apps', 'power-platform']",learn-bizapps.portals-access-common-data-service,module,Access Common Data Service in Power Apps portals,,power,Access Common Data Service in Power Apps portals The ability to show and interact with Common Data Service data on a website is a core benefit of implementing a Microsoft Power Apps portal. This module focuses on the several techniques and methods to display and interact with Common Data Service data in Power Apps portals.
Tenant and environment admins use the Power Automate Admin center to manage data policies and environments for Power Automate deployments.,['beginner'],"['power-platform', 'power-automate']",learn-bizapps.flow-administration,module,Use the Admin center to manage environments and data policies in Power Automate,,power,Use the Admin center to manage environments and data policies in Power Automate Tenant and environment admins use the Power Automate Admin center to manage data policies and environments for Power Automate deployments.
Learn how to create simple flows to make your life easier.,['beginner'],"['power-platform', 'power-automate']",learn-bizapps.flow-get-started,module,Get started with Power Automate,,power,Get started with Power Automate Learn how to create simple flows to make your life easier.
Learn about the email handling actions in WinAutomation.,['beginner'],"['power-platform', 'power-automate']",learn-bizapps.automating-email-handling,module,Automating email handling in WinAutomation,,power,Automating email handling in WinAutomation Learn about the email handling actions in WinAutomation.
"How can you find, collect, and clean data from different sources? Power BI is a tool for making sense of your data. You will learn tricks to make data-gathering easier.",['intermediate'],"['power-platform', 'power-bi']",learn-bizapps.get-data-power-bi,module,Get data with Power BI Desktop,,power,"Get data with Power BI Desktop How can you find, collect, and clean data from different sources? Power BI is a tool for making sense of your data. You will learn tricks to make data-gathering easier."
Learn how to build more complex flows that automate events.,['beginner'],"['power-platform', 'power-automate']",learn-bizapps.flow-build-more,module,Build more complex flows with Power Automate,,power,Build more complex flows with Power Automate Learn how to build more complex flows that automate events.
Learn about Microsoft Power Virtual Agents bots.,['beginner'],"['power-platform', 'power-virtual-agents']",learn-bizapps.power-virtual-agent-bots,module,Get started with Power Virtual Agents bots,,power,Get started with Power Virtual Agents bots Learn about Microsoft Power Virtual Agents bots.
Microsoft provides many templates in Power Automate that administrators can use to enforce governance policies and increase visibility of assets that are being created within a customer’s tenant. This module will identify some existing templates that you can use to provide administrators with greater visibility.,['intermediate'],"['power-automate', 'power-platform', 'power-apps']",learn-bizapps.templates-governance-policies,module,Use templates to enforce governance policies in Power Automate,,power,Use templates to enforce governance policies in Power Automate Microsoft provides many templates in Power Automate that administrators can use to enforce governance policies and increase visibility of assets that are being created within a customer’s tenant. This module will identify some existing templates that you can use to provide administrators with greater visibility.
Introduction to Power BI,['beginner'],['power-bi'],learn-bizapps.wwl.introduction-power-bi,module,Introduction to Power BI,,power,Introduction to Power BI Introduction to Power BI
Learn about the system and services actions in WinAutomation.,['beginner'],"['power-platform', 'power-automate']",learn-bizapps.system-services-actions,module,Automate system and services actions in WinAutomation,,power,Automate system and services actions in WinAutomation Learn about the system and services actions in WinAutomation.
"In this module, we'll discuss how to use controls and images through the WinAutomation repositories.",['beginner'],"['power-automate', 'power-platform']",learn-bizapps.using-repositories,module,Using repositories in WinAutomation,,power,"Using repositories in WinAutomation In this module, we'll discuss how to use controls and images through the WinAutomation repositories."
"Row-level security (RLS) allows you to create a single or a set of reports that targets data for a specific user. In this module, you will learn how to implement RLS by using either a static or dynamic method and how Microsoft Power BI simplifies testing RLS in Power BI Desktop and Power BI service.",['intermediate'],"['power-bi', 'power-platform']",learn-bizapps.row-level-security-power-bi,module,Implement row-level security,,power,"Implement row-level security Row-level security (RLS) allows you to create a single or a set of reports that targets data for a specific user. In this module, you will learn how to implement RLS by using either a static or dynamic method and how Microsoft Power BI simplifies testing RLS in Power BI Desktop and Power BI service."
Learn how to author a basic formula to change behaviors in a Power Apps canvas app.,['intermediate'],"['power-platform', 'power-apps']",learn-bizapps.author-basic-forumla-change-behaviors-powerapps,module,Author a basic formula to change behaviors in a Power Apps canvas app,,power,Author a basic formula to change behaviors in a Power Apps canvas app Learn how to author a basic formula to change behaviors in a Power Apps canvas app.
Learn how to manage solutions in Microsoft Power Automate.,['intermediate'],['power-automate'],learn-bizapps.manage-solutions-power-automate,module,Manage solutions in Power Automate,,power,Manage solutions in Power Automate Learn how to manage solutions in Microsoft Power Automate.
Turn your business intelligence data into data insights by creating and configuring Power BI dashboards.,['intermediate'],"['power-bi', 'power-platform']",learn-bizapps.explore-data-power-bi,module,Explore data in Power BI,,power,Explore data in Power BI Turn your business intelligence data into data insights by creating and configuring Power BI dashboards.
Learn about the database actions in WinAutomation.,['intermediate'],"['power-platform', 'power-automate']",learn-bizapps.database-handling,module,Database handling in WinAutomation,,power,Database handling in WinAutomation Learn about the database actions in WinAutomation.
"Power Query has an incredible amount of features that are dedicated to helping you clean and prepare your data for analysis. You will learn how to simplify a complicated model, change data types, rename objects, and pivot data. You will also learn how to profile columns so that you know which columns have the valuable data that you’re seeking for deeper analytics.",['intermediate'],"['power-bi', 'power-platform']",learn-bizapps.clean-data-power-bi,module,"Clean, transform, and load data in Power BI",,power,"Clean, transform, and load data in Power BI Power Query has an incredible amount of features that are dedicated to helping you clean and prepare your data for analysis. You will learn how to simplify a complicated model, change data types, rename objects, and pivot data. You will also learn how to profile columns so that you know which columns have the valuable data that you’re seeking for deeper analytics."
Microsoft Power Virtual Agents uses trigger phrases in bots to identify when to present a topic to a customer. This module will examine how you can use topics to create and manage conversation paths in a bot.,['beginner'],"['power-platform', 'power-virtual-agents']",learn-bizapps.manage-power-virtual-agent-topics,module,Manage topics in Power Virtual Agents,,power,Manage topics in Power Virtual Agents Microsoft Power Virtual Agents uses trigger phrases in bots to identify when to present a topic to a customer. This module will examine how you can use topics to create and manage conversation paths in a bot.
